Name,Latitude,Longitude,,keyword,
남청주IC,36.5336469,127.430393,,,
남춘천IC,37.75158621,127.7234935,,,
남칠곡TG,35.91689838,128.5149837,,,
남포항IC,35.94620787,129.3899881,,,
남풍세IC,36.72306315,127.1414386,,,
내서JC,35.25881338,128.5153066,,,
내장산IC,35.5093854,126.8019994,,,
내촌IC,37.77329122,127.2321905,,,
내포IC,37.85032567,126.7655184,,,
냉정JC,35.22088478,128.7950381,,,
노오지JC,37.57031457,126.7532332,,,
노은JC,37.03609812,127.8043216,,,
노포,35.28077586,129.0915637,,,
노포IC,35.28366182,129.1121155,,,
노포JC,35.28784858,129.1006271,,,
논산IC,36.12227978,127.1344215,,,
논산JC,36.08193483,127.1026753,,,
다부IC,36.04761216,128.5170421,,,
다사IC,35.85466331,128.4699181,,,
단성IC,35.28981289,127.9523194,,,
단양IC,36.91788107,128.364642,,,
달뫼IC,37.65818664,127.3281996,,,
달서IC,35.8304051,128.4872582,,,
달성IC,35.76986525,128.4737453,,,
담양IC,35.28056286,126.9795901,,,
담양JC,35.25193412,126.9697563,,,
당진IC,36.8926228,126.7065768,,,
당진JC,36.85176871,126.6194489,,,
대감JC,35.26991022,128.9837724,,,
대곶IC,37.64767505,126.603228,,,
대관령IC,37.67878391,128.6954646,,,
대구외곽선2구간시점,0,0,,,
대덕JC,35.24649229,127.0350827,,,
대동IC,35.25923579,128.9829584,,,
대동JC,35.28176929,128.9851036,,,
대소IC,36.98144749,127.4706988,,,
대소JC,36.94098907,127.472951,,,
대신IC,37.38464725,127.5817504,,,
대왕판교IC,37.40924292,127.0909068,,,
대저JC,35.21925387,128.9742981,,,
대전IC,36.36329081,127.4512025,,,
대천IC,36.33324945,126.5753988,,,
대청IC,35.17928352,128.7853986,,,
덕소삼패IC,37.59248572,127.2076853,,,
덕유산IC,35.84230012,127.6464707,,,
덕천IC,35.21552914,129.003101,,,
덕평IC,37.24145774,127.365168,,,
도개IC,36.31363004,128.3219486,,,
도동JC,35.91262576,128.6624897,,,
도롱IC,34.90379146,127.5264032,,,
도리JC,37.39542089,126.8490095,,,
도척IC,37.28656298,127.32622,,,
도화IC,37.46192115,126.6719945,,,
동경주IC,35.78218826,129.4243776,,,
동고령IC,35.75294203,128.358244,,,
동고성IC,34.97193773,128.3840811,,,
동곤지암IC,37.38089797,127.4006599,,,
동광산TG,35.14392803,126.7532617,,,
동광양IC,34.95929131,127.6546781,,,
동광주IC,35.18411113,126.927429,,,
동광주TG,35.20767904,126.9392688,,,
동군산IC,35.94482277,126.8340321,,,
동군위IC,36.09770143,128.6608512,,,
동군포IC,37.32893048,126.9346924,,,
동김천IC,36.13592961,128.1762831,,,
동김해IC,35.22539582,128.8947277,,,
동남원IC,35.47625801,127.4781722,,,
동대구IC,35.8649995,128.68632,,,
동대구JC,35.885695,128.6944382,,,
동둔내Hi,37.52414218,128.2787447,,,
동림IC,35.19277289,126.8642416,,,
동마산IC,35.25262823,128.5967973,,,
동명동호IC,35.96467029,128.5514736,,,
동부산IC,35.20066652,129.203119,,,
동산TG,0,0,,,폐쇄
동상주IC,36.37596622,128.2965355,,,
동서울TG,37.51720294,127.2211137,,,
동서천IC,36.04280712,126.7844576,,,
동서천JC,36.05832612,126.772708,,,
동수원IC,37.29969474,127.0503039,,,
동순천IC,34.94848299,127.5521565,,,
동시흥JC,37.39281251,126.8647028,,,
동안동IC,36.451062,128.8905131,,,
동안산IC,37.30076249,126.9366162,,,
동양평IC,37.39955464,127.7532851,,,
동여주IC,37.40025225,127.6735042,,,
동영천IC,35.99480012,128.9573701,,,
동의정부IC,37.72052911,127.1123851,,,
동전주IC,35.84620777,127.1894032,,,
동창원IC,35.27785268,128.694748,,,
동청송영양IC,36.49392649,129.1222366,,,
동충주IC,37.06420591,127.9209714,,,
동탄IC,37.20464856,127.1342059,,,
동탄JC,37.17757846,127.0959323,,,
동탄JCT,37.17757846,127.0959323,,,
동판교IC,37.41275524,127.1056793,,,
동함평IC,35.05098522,126.5457112,,,
동해IC,37.51186194,129.0951587,,,
동홍천IC,37.75854363,127.9655845,,,
두물머리Hi,37.56354424,127.3816136,,두물머리IC,
둔내IC,37.49264606,128.2056607,,,
